ID,SORTIMENT,TYPERING,JAAR_VAN_AANPLANT,STRAATNAAM,WOONPLAATS,RD_XCOORD,RD_YCOORD,longitude,latitude
518332,Aesculus hippocastanum,Monumentale Boom,1935,Hoofdweg,Nieuw-Vennep,"104006,024","475867,632",4.64015049402859,52.2684619797729
655683,Aesculus hippocastanum,Monumentale Boom,1895,IJweg,Hoofddorp,"105449,192","480690,891",4.66058408502248,52.3119401898037
672358,Aesculus hippocastanum,Monumentale Boom,1895,IJweg,Hoofddorp,"105491,174","480652,893",4.66120524312923,52.3116024826099
462717,Aesculus hippocastanum,Monumentale Boom,1950,Huigsloterdijk,Weteringbrug,"103746,624","470347,771",4.63718541440518,52.2188305140806
461347,Aesculus hippocastanum,Monumentale Boom,1950,Huigsloterdijk,Weteringbrug,"103753,057","470341,624",4.63728046641179,52.2187758695779
988686,Aesculus hippocastanum,Monumentale Boom,1915,Aalsmeerderweg,Rozenburg,"109964,172","476534,892",4.72734153641484,52.2749773117962
563101,Aesculus hippocastanum,Waardevolle Boom,1935,Huigsloterdijk,Weteringbrug,"104383,702","470635,916",4.64646437532295,52.2214788478344
461350,Aesculus hippocastanum,Monumentale Boom,1950,Huigsloterdijk,Weteringbrug,"103751,556","470334,405",4.63725959441629,52.2187108540928
275231,Fraxinus excelsior,Monumentale Boom,1935,Hoofdweg,Abbenes,"101132,941","472569,123",4.59858860775058,52.2385452695844
275232,Fraxinus excelsior,Monumentale Boom,1935,Hoofdweg,Abbenes,"101128,117","472574,912",4.59851706430943,52.2385968277982
278677,Fraxinus excelsior,Monumentale Boom,1935,Hoofdweg,Abbenes,"101110,749","472589,506",4.59826049962162,52.2387262892117
902511,Populus x canescens,Monumentale Boom,1960,Kruisweg,Hoofddorp,"108573,495","479139,713",4.70660916571898,52.298271784381
924644,Quercus robur,Monumentale Boom,1915,Hoofdweg,Hoofddorp,"109102,193","481560,048",4.71403022843123,52.3200677511967
927318,Quercus robur,Monumentale Boom,1915,Hoofdweg,Hoofddorp,"109109,204","481563,355",4.71413260066144,52.3200980554418
1025865,Fagus sylvatica 'Purpurea',Monumentale Boom,1935,Hoofdweg,Lijnden,"111478,684","484208,494",4.74854182064138,52.3440623761678
1030389,Fagus sylvatica 'Purpurea',Waardevolle Boom,1935,Hoofdweg,Lijnden,"111028,942","483830,878",4.7419916581255,52.3406329873179
1030395,Aesculus hippocastanum,Waardevolle Boom,1935,Hoofdweg,Lijnden,"111010,028","483808,224",4.74171710102302,52.340427889007
461353,Aesculus hippocastanum,Monumentale Boom,1950,Huigsloterdijk,Weteringbrug,"103758,275","470328,044",4.63735886171825,52.2186543090309
461352,Aesculus hippocastanum,Monumentale Boom,1950,Huigsloterdijk,Weteringbrug,"103754,642","470331,104",4.63730525050902,52.2186814700049
748286,Aesculus hippocastanum,Monumentale Boom,1935,Weteringweg,Leimuiderbrug,"105842,361","471650,417",4.6676623160733,52.2307280607804
748288,Aesculus hippocastanum,Monumentale Boom,1935,Weteringweg,Leimuiderbrug,"105836,622","471653,722",4.66757782794463,52.2307572498843
748287,Aesculus hippocastanum,Monumentale Boom,1935,Weteringweg,Leimuiderbrug,"105840,448","471661,288",4.66763273726021,52.2308255878626
354968,Tilia platyphyllos,Waardevolle Boom,1999,Ravelplantsoen,Nieuw-Vennep,"102331,508","475907,722",4.6156150100274,52.2686649553297
672352,Aesculus hippocastanum,Waardevolle Boom,1895,IJweg,Hoofddorp,"105470,507","480671,777",4.66089943862385,52.3117703371757
284029,Pyrus,Waardevolle Boom,1915,IJweg,Nieuw-Vennep,"101707,425","476397,667",4.60639591639234,52.273008145047
296618,Fraxinus excelsior,Monumentale Boom,1950,Hoofdweg,Abbenes,"101157,15","472656,19",4.59892917171249,52.2393301109093
802440,Tilia vulgaris,Monumentale Boom,1950,Hoofdweg,Hoofddorp,"106709,101","478893,626",4.6793150504656,52.2959000067098
881886,Aesculus carnea,Waardevolle Boom,1945,Stationsweg,Hoofddorp,"107768,937","480170,59",4.69467138793487,52.3074679659753
250085,Aesculus hippocastanum,Monumentale Boom,1935,Oude Schoolplein,Lisserbroek,"99358,873","475070,262",4.57220797116929,52.2608469897226
252787,Tilia platyphyllos,Monumentale Boom,1935,Lisserdijk,Lisserbroek,"99001,424","473420,712",4.56724548091981,52.245986432926
1088196,Fagus sylvatica,Monumentale Boom,1915,Aalsmeerderdijk,Aalsmeerderbrug,"112636,894","476834,391",4.76646224437463,52.2778807300515
1088199,Fagus sylvatica,Monumentale Boom,1915,Aalsmeerderdijk,Aalsmeerderbrug,"112631,999","476830,555",4.76639100315494,52.27784587911
1037607,Aesculus hippocastanum,Monumentale Boom,1915,Aalsmeerderdijk,Aalsmeerderbrug,"112187,697","476600,566",4.7599101950303,52.2757446109218
954806,Fagus sylvatica 'Purpurea',Monumentale Boom,1895,Kleine Poellaan,Rijsenhout,"108706,128","474180,366",4.70923198091466,52.2537126824235
954805,Fagus sylvatica 'Purpurea',Monumentale Boom,1895,Kleine Poellaan,Rijsenhout,"108711,043","474187,388",4.70930299855027,52.2537761993702
843244,Tilia x europaea,Monumentale Boom,1963,Hoofdweg,Hoofddorp,"107515,807","479847,163",4.6910055710964,52.3045395656692
843913,Tilia x europaea,Monumentale Boom,1963,Hoofdweg,Hoofddorp,"107500,536","479833,394",4.69078362196133,52.3044145062441
1037608,Fagus sylvatica 'Purpurea',Monumentale Boom,1915,Aalsmeerderdijk,Aalsmeerderbrug,"112179,231","476596,002",4.75978673471243,52.2757029361154
1037603,Fagus sylvatica 'Purpurea',Monumentale Boom,1915,Aalsmeerderdijk,Aalsmeerderbrug,"112175,659","476594,546",4.75973458458552,52.2756895734139
1037604,Fagus sylvatica 'Purpurea',Monumentale Boom,1915,Aalsmeerderdijk,Aalsmeerderbrug,"112171,955","476593,025",4.75968050874857,52.2756756162714
1024273,Fagus sylvatica 'Purpurea',Monumentale Boom,1915,Aalsmeerderdijk,Aalsmeerderbrug,"111636,383","476421,576",4.75185567471697,52.2740929200482
1015740,Fagus sylvatica,Monumentale Boom,1950,Aalsmeerderdijk,Aalsmeerderbrug,"111195,907","476214,869",4.7454291349834,52.2722004035399
500053,Tilia vulgaris,Monumentale Boom,1935,Hoofdweg,Nieuw-Vennep,"103942,884","475778,373",4.63923904642265,52.2676539671962
500051,Tilia vulgaris,Monumentale Boom,1935,Hoofdweg,Nieuw-Vennep,"103948,043","475774,14",4.63931525569872,52.2676164024889
563100,Aesculus hippocastanum,Waardevolle Boom,1935,Huigsloterdijk,Weteringbrug,"104386,686","470637,273",4.64650783843158,52.2214913167735
461360,Aesculus hippocastanum,Monumentale Boom,1950,Huigsloterdijk,Weteringbrug,"103764,278","470320,754",4.6374478109139,52.2185893471922
303598,Tilia vulgaris 'Pallida',Monumentale Boom,1915,Lisserweg,Lisserbroek,"100493,758","474248,902",4.58896164641497,52.2535787125442
300915,Tilia vulgaris 'Pallida',Monumentale Boom,1915,Lisserweg,Lisserbroek,"100499,477","474255,123",4.58904439222754,52.2536351852335
300913,Tilia vulgaris 'Pallida',Monumentale Boom,1915,Lisserweg,Lisserbroek,"100505,834","474261,214",4.5891365017964,52.2536905525459
300910,Tilia vulgaris 'Pallida',Monumentale Boom,1915,Lisserweg,Lisserbroek,"100512,089","474268,755",4.58922688470868,52.2537589408323
300909,Tilia vulgaris 'Pallida',Monumentale Boom,1915,Lisserweg,Lisserbroek,"100517,898","474275,27",4.589310901836,52.2538180643895
300902,Tilia vulgaris 'Pallida',Monumentale Boom,1915,Lisserweg,Lisserbroek,"100523,536","474281,403",4.58939247654762,52.2538737379851
293519,Tilia vulgaris 'Pallida',Monumentale Boom,1915,Lisserweg,Lisserbroek,"100529,362","474288,023",4.58947672616932,52.2539338067342
